,,Name,Date,Likes,Comment,"Profile ID","Comment ID","Profile URL","Comment URL"
1,,hyngredstin,570089818,"2023-05-24 11:43:46",0,"São lindos ☔️",570089818,17986995791038897,https://www.instagram.com/hyngredstin/,https://www.instagram.com/p/Csiwt0vrurH/c/17986995791038897
2,,talitapapelaria_,23908635765,"2023-05-24 11:44:03",0,"Muito estilo nesses amei 😍",23908635765,18014393674613571,https://www.instagram.com/talitapapelaria_/,https://www.instagram.com/p/Csiwt0vrurH/c/18014393674613571
3,,talitapapelaria_,23908635765,"2023-05-24 11:44:04",0,😍😍,23908635765,17966232794289008,https://www.instagram.com/talitapapelaria_/,https://www.instagram.com/p/Csiwt0vrurH/c/17966232794289008
4,,maedoalvaro_,1649175585,"2023-05-24 11:44:41",0,"Detalhes perfeitos amei",1649175585,17849548790965510,https://www.instagram.com/maedoalvaro_/,https://www.instagram.com/p/Csiwt0vrurH/c/17849548790965510
5,,maedoalvaro_,1649175585,"2023-05-24 11:44:42",0,😮,1649175585,17937435338656721,https://www.instagram.com/maedoalvaro_/,https://www.instagram.com/p/Csiwt0vrurH/c/17937435338656721
6,,beatriscanastra,48211177691,"2023-05-24 11:45:05",0,"LINDOS E DIFERENTE 😍",48211177691,17873639057898696,https://www.instagram.com/beatriscanastra/,https://www.instagram.com/p/Csiwt0vrurH/c/17873639057898696
7,,beatriscanastra,48211177691,"2023-05-24 11:45:08",0,☔️☔️,48211177691,17986039441922963,https://www.instagram.com/beatriscanastra/,https://www.instagram.com/p/Csiwt0vrurH/c/17986039441922963
8,,thamiire_s,46865270687,"2023-05-24 11:45:18",0,😍😍😍😍😍,46865270687,17893424264814324,https://www.instagram.com/thamiire_s/,https://www.instagram.com/p/Csiwt0vrurH/c/17893424264814324
9,,giiifreitasmoraes,52233566884,"2023-05-24 16:27:25",0,"que show",52233566884,17984005465981464,https://www.instagram.com/giiifreitasmoraes/,https://www.instagram.com/p/Csiwt0vrurH/c/17984005465981464
10,,giiifreitasmoraes,52233566884,"2023-05-24 16:27:26",0,❤️❤️❤️,52233566884,17968940045235243,https://www.instagram.com/giiifreitasmoraes/,https://www.instagram.com/p/Csiwt0vrurH/c/17968940045235243
11,,elisa.souzas6,53685376146,"2023-05-24 16:27:34",0,top,53685376146,17991712486959662,https://www.instagram.com/elisa.souzas6/,https://www.instagram.com/p/Csiwt0vrurH/c/17991712486959662
12,,elisa.souzas6,53685376146,"2023-05-24 16:27:34",0,🙌,53685376146,18024126238527076,https://www.instagram.com/elisa.souzas6/,https://www.instagram.com/p/Csiwt0vrurH/c/18024126238527076
13,,petphotograph.7,52598341617,"2023-05-24 18:55:31",0,"que demais",52598341617,18199868203300379,https://www.instagram.com/petphotograph.7/,https://www.instagram.com/p/Csiwt0vrurH/c/18199868203300379
14,,petphotograph.7,52598341617,"2023-05-24 18:55:33",0,"já quero",52598341617,18175791835286525,https://www.instagram.com/petphotograph.7/,https://www.instagram.com/p/Csiwt0vrurH/c/18175791835286525
15,,petphotograph.7,52598341617,"2023-05-24 18:55:33",0,❤️,52598341617,17978445272484391,https://www.instagram.com/petphotograph.7/,https://www.instagram.com/p/Csiwt0vrurH/c/17978445272484391
16,,daiane.looes,53575013862,"2023-05-24 19:03:06",0,"qual valorv",53575013862,18285664687188337,https://www.instagram.com/daiane.looes/,https://www.instagram.com/p/Csiwt0vrurH/c/18285664687188337
17,,daiane.looes,53575013862,"2023-05-24 19:03:08",0,"já quer",53575013862,17978569193483589,https://www.instagram.com/daiane.looes/,https://www.instagram.com/p/Csiwt0vrurH/c/17978569193483589
18,,daiane.looes,53575013862,"2023-05-24 19:03:09",0,❤️❤️❤️,53575013862,17992192711940241,https://www.instagram.com/daiane.looes/,https://www.instagram.com/p/Csiwt0vrurH/c/17992192711940241
19,,dani_full5,51227499119,"2023-05-24 19:03:20",0,uauu,51227499119,18092886178330598,https://www.instagram.com/dani_full5/,https://www.instagram.com/p/Csiwt0vrurH/c/18092886178330598
20,,haikaa_lemos,48133835350,"2023-05-25 00:54:25",0,Perfeitos,48133835350,17999514961850627,https://www.instagram.com/haikaa_lemos/,https://www.instagram.com/p/Csiwt0vrurH/c/17999514961850627
21,,haikaa_lemos,48133835350,"2023-05-25 00:54:26",0,👏👏👏,48133835350,17876785184878242,https://www.instagram.com/haikaa_lemos/,https://www.instagram.com/p/Csiwt0vrurH/c/17876785184878242
22,,jullya_ly,48541622498,"2023-05-25 00:54:49",0,"Legal esses detalhes 👏",48541622498,17918087096736047,https://www.instagram.com/jullya_ly/,https://www.instagram.com/p/Csiwt0vrurH/c/17918087096736047
23,,jullya_ly,48541622498,"2023-05-25 00:54:51",0,☔️☔️☔️,48541622498,17907622460774725,https://www.instagram.com/jullya_ly/,https://www.instagram.com/p/Csiwt0vrurH/c/17907622460774725
24,,lili_kaoliveira,48131931275,"2023-05-25 00:55:05",0,"Euuuu queroooo😍",48131931275,17873466812905779,https://www.instagram.com/lili_kaoliveira/,https://www.instagram.com/p/Csiwt0vrurH/c/17873466812905779
25,,feercamppos,272761441,"2023-05-25 02:15:37",0,quero,272761441,17967463685399388,https://www.instagram.com/feercamppos/,https://www.instagram.com/p/Csiwt0vrurH/c/17967463685399388
26,,feercamppos,272761441,"2023-05-25 02:15:37",0,❤️,272761441,17970506933515016,https://www.instagram.com/feercamppos/,https://www.instagram.com/p/Csiwt0vrurH/c/17970506933515016
27,,feercamppos,272761441,"2023-05-25 02:15:37",0,❤️,272761441,18366746341044545,https://www.instagram.com/feercamppos/,https://www.instagram.com/p/Csiwt0vrurH/c/18366746341044545
28,,oliverqueen.dog,56334628084,"2023-05-25 02:16:38",0,,56334628084,18008412001680359,https://www.instagram.com/oliverqueen.dog/,https://www.instagram.com/p/Csiwt0vrurH/c/18008412001680359
29,,oliverqueen.dog,56334628084,"2023-05-25 02:16:41",0,,56334628084,18076807201365466,https://www.instagram.com/oliverqueen.dog/,https://www.instagram.com/p/Csiwt0vrurH/c/18076807201365466
30,,dani_full5,51227499119,"2023-05-25 02:17:32",0,,51227499119,17980114382276851,https://www.instagram.com/dani_full5/,https://www.instagram.com/p/Csiwt0vrurH/c/17980114382276851
31,,vendoguardachuva,4014331343,"2023-05-25 12:27:54",0,"@daiane.looes Vou lhe encaminhar por direct! <",4014331343,17939186360548998,https://www.instagram.com/vendoguardachuva/,https://www.instagram.com/p/Csiwt0vrurH/c/17939186360548998
32,,nutri.luanasantos,51769995537,"2023-05-29 19:15:26",0,"Qual o tamanho deles ?",51769995537,18009079015669373,https://www.instagram.com/nutri.luanasantos/,https://www.instagram.com/p/Csiwt0vrurH/c/18009079015669373
33,,vendoguardachuva,4014331343,"2023-05-30 12:27:29",0,"@nutri.luanasantos Vou lhe encaminhar por direct! <",4014331343,18043935262454339,https://www.instagram.com/vendoguardachuva/,https://www.instagram.com/p/Csiwt0vrurH/c/18043935262454339
